Sitio,Riqueza,Dominancia,Diversidad,Form vida,Tiempo
Sit 1,3.588161249,0.346151704,0.476418153,1,3
Sit 2,1.554176087,0.500408163,0.300852708,1,14
Sit 3,1.552678472,0.511425095,0.296049069,1,11
Sit 4,3.513832641,0.38673438,0.452531511,1,1
Sit 5,1.452377308,0.509022054,0.297099898,1,13
Sit 6,2.619686488,0.880987018,0.106927223,1,2
Sit 7,2.563325377,0.596738988,0.267334529,1,11
Sit 8,2.648975586,0.791247021,0.167095306,1,3
Sit 9,3.554176087,0.524897959,0.35009229,1,8
Sit 10,1.529877418,0.581198485,0.264743471,1,8
Sit 11,3.573091565,0.494256198,0.347130939,1,9
Sit 12,2.56541201,0.51035,0.306477587,1,9
sit 1,4.632929979,0.480220719,-0.341197675,2,3
sit 2,2.41140809,0.8504,-0.140605524,2,14
sit 3,2.20336023,0.762345679,-0.365410696,2,11
sit 4,2.589785758,0.368426661,-0.454326015,2,1
sit 5,-1.095903274,1,0,2,13
sit 6,1.532683876,0.63610586,-0.238894765,2,2
sit 7,3.636634304,0.705693476,-0.236832295,2,11
sit 8,3.618036047,0.546796342,-0.366221005,2,3
sit 9,3.039747432,0.454545455,-0.15733715,2,8
sit 10,1.275473225,0.722222222,-0.195676247,2,8
sit 11,3.513832641,0.495998769,-0.419005271,2,9
sit 12,2.555638503,0.852985734,-0.137380259,2,9
sit 1,3.536035225,0.624438747,-0.322441233,3,3
sit 2,1.605568446,0.954440752,-0.048079163,3,14
sit 3,3.316191624,0.493460166,-0.399844043,3,11
sit 4,2.662215886,0.914123486,-0.081814946,3,1
sit 5,2.362326935,0.370343316,-0.451591413,3,13
sit 6,3.533367665,0.490088505,-0.414218096,3,2
sit 7,1.217988517,0.900277008,-0.08954807,3,11
sit 8,2.387805748,0.467820443,-0.393567778,3,3
sit 9,2.569377448,0.811473923,-0.154084624,3,8
sit 10,1.562037638,0.910644531,-0.019872789,3,8
sit 11,2.520696293,0.685971513,-0.241934848,3,9
sit 12,4.555638503,0.578777932,-0.336583601,3,9
sit 1,6.456181584,0.293845831,-0.63224921,4,3
sit 2,3.487019018,0.722004797,-0.249938309,4,14
sit 3,8.566629808,0.852006874,-0.578416082,4,11
sit 4,7.480324916,0.426303855,0.516518928,4,1
sit 5,5.554667398,0.734633264,-0.256392242,4,13
sit 6,3.452377308,0.385609267,-0.471117726,4,2
sit 7,6.539226079,0.494247626,-0.437206894,4,11
sit 8,6.539226079,0.386230825,-0.539391712,4,3
sit 9,4.444240836,0.821617536,-0.187971811,4,8
sit 10,0.435300074,1,0,4,8
sit 11,6.5,0.3378,-0.578479628,4,9
sit 12,7.50524179,0.475736961,-0.498648894,4,9
